price,floor_area,latitude,longitude,bedroom,bathroom,type_house,code,predicted_price,residual,res_percentage
850000.0,149,53.44347216249679,-6.148025611706714,4,3,house,K36,728839.2967898122,-121160.70321018784,-0.14254200377669157
320000.0,100,53.257264,-8.922598,3,4,house,H91,311664.8373330162,-8335.162666983786,-0.026047383334324332
625000.0,120,53.44347216249679,-6.148025611706714,3,3,house,K36,595623.5169093027,-29376.483090697322,-0.047002372945115715
350000.0,149,53.415924,-9.290911,4,4,,,291469.7565718333,-58530.24342816672,-0.16722926693761922
750000.0,290,53.299645,-9.120468,5,4,house,H91,700256.0645457238,-49743.93545427616,-0.06632524727236822
365000.0,210,53.403725,-9.048937,4,3,house,,375273.50721531105,10273.507215311052,0.02814659511044124
625000.0,210,53.702817,-6.247423,4,3,house,A92,753277.4670519326,128277.46705193259,0.20524394728309214
550000.0,222,53.285298,-9.068049,4,4,house,H91,530631.2741908564,-19368.725809143623,-0.03521586510753386
395000.0,230,51.748699,-8.732959,4,4,house,P72,547822.1793136157,152822.17931361566,0.386891593199027
2500000.0,366,53.382463,-6.062202,6,4,house,D13,2062436.8672689302,-437563.1327310698,-0.17502525309242792
325000.0,196,54.208804,-8.382849,4,3,house,F91,329004.4330524475,4004.433052447508,0.012321332469069256
180000.0,62,52.664214,-7.234523,2,1,house,R95,170908.84332523978,-9091.15667476022,-0.050506425970890105
370000.0,154,51.995722,-8.716585,5,4,house,P32,355734.2497208574,-14265.75027914258,-0.038556081835520485
1100000.0,496,52.622942,-8.633775,4,5,house,V94,897113.5575496061,-202886.44245039392,-0.18444222040944902
130000.0,61,53.713722,-6.341993,2,1,house,A92,145223.11064586363,15223.110645863635,0.11710085112202796
345000.0,98,53.23746,-6.658913,3,3,house,W91,294020.46857599844,-50979.53142400156,-0.14776675775072914
435000.0,173,52.65921219756217,-7.2705129037048835,4,3,house,R95,416413.1289525208,-18586.871047479217,-0.04272843918960739
410000.0,138,52.65921219756217,-7.2705129037048835,4,3,house,R95,321914.49093595083,-88085.50906404917,-0.21484270503426628
350000.0,127,53.03531025771622,-7.270790859646041,4,3,house,R32,271189.8979205813,-78810.10207941872,-0.22517172022691062
330000.0,108,53.03531025771622,-7.270790859646041,3,3,house,R32,239108.09260688204,-90891.90739311796,-0.27543002240338776
725000.0,153,53.12737070936103,-6.084506826874161,3,3,house,A63,677931.3401978209,-47068.659802179085,-0.06492228938231598
279950.0,95,53.95895216214487,-6.392855861972436,3,3,house,A91,223026.23952329738,-56923.76047670262,-0.20333545446223475
224950.0,70,53.95895216214487,-6.392855861972436,2,2,house,A91,160979.9016966041,-63970.098303395906,-0.28437474240229343
740000.0,140,53.243961,-6.150204,4,3,house,D18,778820.8658610166,38820.86586101656,0.052460629541914265
635000.0,121,53.243152,-6.143295,3,2,house,D18,647112.0765933697,12112.076593369711,0.019074136367511357
555000.0,87,53.246234,-6.155611,2,2,house,D18,461131.654824183,-93868.34517581703,-0.1691321534699406
580000.0,141,53.12815660102234,-6.08256378583016,4,3,house,A63,657023.5687294051,77023.56872940506,0.13279925643000873
495000.0,119,53.12815660102234,-6.08256378583016,3,3,house,A63,510302.87780403555,15302.877804035554,0.03091490465461728
875000.0,279,52.586433,-7.297343,4,4,house,R95,597955.9556402157,-277044.04435978434,-0.3166217649826107
349950.0,81,53.338149,-6.312975,3,1,house,D08,367709.91510043596,17759.91510043596,0.05074986455332464
485000.0,121,53.383126,-6.27786,3,2,house,D11,481786.2983481952,-3213.7016518047894,-0.0066261889727933804
450000.0,94,53.370452,-6.250758,2,1,house,D09,445279.77855923324,-4720.221440766763,-0.010489380979481697
295000.0,184,53.946783,-8.092089,3,1,house,N41,210877.8279087911,-84122.1720912089,-0.28515990539392844
235000.0,169,54.225681,-8.404629,4,3,house,F91,285216.68348210986,50216.68348210986,0.21368801481748875
140000.0,111,53.760567,-8.556549,3,1,house,,155149.2424925196,15149.24249251961,0.10820887494656864
