floor_area,views,latitude,longitude,bathroom,type_house,code,price,inferred_price,difference,dif_per
66,2437.0,53.2832965,-6.2443147,1,apartment,D16,395000.0,382933.87727510487,-12066.122724895133,-0.008945291262563299
164,6575.0,53.9033139,-9.7403151,3,house,,175000.0,289247.63027925935,114247.63027925935,0.1741352424176121
189,11487.0,53.14949,-6.065448,4,house,A63,740000.0,1034285.3935223387,294285.3935223387,0.4485472321457681
435,8078.0,53.291749,-6.145721,3,house,A96,2250000.0,1943728.9411342693,-306271.05886573065,-0.2270558562441143
87,3727.0,53.990561,-6.169892,1,house,A91,195000.0,293772.9283771872,98772.92837718723,0.15054883663859606
96,3082.0,53.274293,-6.370142,1,house,D24,300000.0,306747.24300629436,6747.24300629436,0.010284088988801591
60,2350.0,53.348297,-6.276772,2,apartment,D07,350000.0,311257.50708940055,-38742.49291059945,-0.02872197566895855
103,6210.0,53.379909,-6.235918,2,house,D09,599000.0,461886.62051001296,-137113.37948998704,-0.10164981274404919
159,5212.0,53.317019,-6.281835,4,house,D6W,950000.0,830713.7349589808,-119286.26504101919,-0.08843357628160645
160,6908.0,53.2727846,-9.5817233,3,house,H91,320000.0,417871.16370830487,97871.16370830487,0.14917437478905365
98,4474.0,53.196259,-6.110775,1,house,A98,395000.0,403779.5218661544,8779.521866154391,0.013381670715940142
140,6972.0,53.971172,-6.711563,2,house,,225000.0,282031.27137234464,57031.271372344636,0.08692656680521774
311,8659.0,52.667103,-8.630264,4,house,V94,975000.0,597738.9571672765,-377261.04283272347,-0.27968469964210557
118,1280.0,53.34178,-6.319592,3,house,D10,495000.0,488826.9829117904,-6173.017088209628,-0.004576402634202068
203,29129.0,53.508787,-8.988679,3,house,,160000.0,301902.6989971511,141902.6989971511,0.21628685714690293
80,4018.0,54.09406410195942,-8.477232659998577,2,house,F56,290000.0,136124.27695052154,-153875.72304947846,-0.11407667502628294
160,6770.0,54.04819,-8.048842,3,house,,250000.0,228180.1722022017,-21819.827797798294,-0.01617625805740984
358,14350.0,53.1445057,-6.062178,6,house,A63,1350000.0,1372280.62728329,22280.62728329003,0.03395993793226644
325,1801.0,53.9503715560306,-8.0878817580689,6,house,N41,270000.0,406001.6968192278,136001.69681922777,0.2072926010538198
182,4463.0,53.27864223058037,-6.163883492026372,1,house,A94,995000.0,992561.7705153918,-2438.229484608164,-0.0018075958120158423
110,2357.0,53.23824,-6.123491,2,house,D18,650000.0,615902.7484916481,-34097.25150835188,-0.025278198552197654
152,9758.0,53.113523,-6.107416,2,house,A63,699950.0,601141.2496411151,-98808.75035888492,-0.07325244997106668
390,8144.0,51.846032,-8.337456,5,house,T12,990000.0,890443.3454195348,-99556.65458046517,-0.07380691317777123
133,5512.0,52.647104,-8.641413,2,house,V94,395000.0,320533.1938200762,-74466.80617992382,-0.0552064060560147
188,28163.0,52.666664,-8.636946,3,house,V94,620000.0,467378.0337163829,-152621.96628361708,-0.11314719505175061
182,17360.0,53.146115,-6.06643,3,house,A63,1150000.0,999584.7654077058,-150415.2345922942,-0.11151122149443843
98,2891.0,52.352886,-7.330975,2,house,E32,195000.0,178368.47430210098,-16631.525697899022,-0.012329879688821588
124,6669.0,53.334351,-6.253661,2,house,D02,895000.0,759539.3835437186,-135460.6164562814,-0.10042452711903305
130,1071.0,52.128879,-8.642358,2,house,P51,290000.0,253838.0399153219,-36161.96008467811,-0.026808882435384415
104,2771.0,51.909834,-8.424796,1,house,T23,270000.0,287363.7571439326,17363.757143932628,0.026465687315775928
113,2463.0,53.346086,-6.452374,3,house,K78,465000.0,363916.96371138626,-101083.03628861374,-0.07493850526153703
100,6606.0,54.262946,-8.472281,3,house,F91,165000.0,212733.1711651715,47733.17116517149,0.07275448350124321
87,2505.0,53.298299,-6.252965,1,house,D14,525000.0,514702.65899163525,-10297.341008364747,-0.007633994502617697
279,15445.0,52.469172,-8.152352,2,house,E34,295000.0,469051.94045249396,174051.94045249396,0.2652884507964545
59,2495.0,53.392204,-6.374844,1,apartment,D15,220000.0,235104.69936658186,15104.699366581859,0.023022451138948345
465,4392.0,55.132278,-7.886408,5,house,F92,495000.0,495625.8509451787,625.8509451787104,0.0009539165564274399
155,3874.0,53.5061898,-6.4556801,3,house,A85,465000.0,497823.2855534912,32823.28555349121,0.05002896578973796
90,10195.0,51.949719,-7.84255,2,apartment,P36,300000.0,191122.45201244176,-108877.54798755824,-0.0807170124909272
50,3502.0,53.343004,-6.288949,1,apartment,D08,255000.0,261949.1036713841,6949.103671384102,0.010591763255340525
275,2216.0,53.299541,-6.187458,3,apartment,A94,1150000.0,1512672.0034863623,362672.0034863623,0.5527815070720448
95,9057.0,53.373312,-6.256037,2,house,D09,595000.0,486042.7410506745,-108957.25894932548,-0.08077610668266419
53,1359.0,53.3520085,-6.2335607,2,house,D01,295000.0,301287.5874526664,6287.5874526664265,0.009583485999803465
132,6175.0,53.83765206185939,-6.807602434132349,1,house,A82,299000.0,234961.59442635812,-64038.40557364188,-0.04747524974733441
94,11397.0,53.368739,-6.258766,1,house,D09,575000.0,475904.7822442936,-99095.2177557064,-0.07346482426562854
52,3459.0,53.750895,-7.004673,1,house,A82,220000.0,87654.1457781139,-132345.85422188608,-0.098115379761961
284,15224.0,52.036056,-9.999218,3,house,,290000.0,546596.4228606764,256596.42286067642,0.39110203151800255
114,570.0,53.65757898095529,-6.671450642533415,2,house,C15,385000.0,294247.1027065147,-90752.8972934853,-0.06728019577795019
88,3830.0,53.260813,-6.212779,1,house,D18,535000.0,462922.3756962176,-72077.62430378242,-0.053435171977877303
100,1623.0,52.49901,-9.371608,2,house,,115000.0,173756.52256582378,58756.522565823776,0.08955617963896685
226,7715.0,53.956179,-8.092362,7,house,N41,299950.0,301756.795558802,1806.7955588020268,0.002753902044725155
114,2180.0,53.560992,-6.794519,2,house,C15,300000.0,290239.42545871285,-9760.574541287147,-0.007236059515757372
135,1968.0,52.150881,-8.63599,3,house,P51,277500.0,305371.3053792621,27871.305379262078,0.04248120076407559
180,1719.0,53.376008,-6.263244,3,house,D09,895000.0,856620.1215269484,-38379.87847305159,-0.02845314931654762
190,17353.0,52.993813,-6.080794,3,house,A67,445000.0,637176.0815468491,192176.0815468491,0.2929131087028119
181,4383.0,52.972203,-7.493694,3,house,,385000.0,348852.92413629236,-36147.075863707636,-0.02679784793036297
123,26729.0,53.535893,-6.094426,3,house,K56,390000.0,442327.9794957904,52327.97949579038,0.07975785031558351
82,715.0,52.32500830205734,-6.462498885578981,3,house,Y35,210000.0,184422.19338417915,-25577.806615820853,-0.01896225782321674
144,5587.0,53.296594,-6.322238,1,house,D12,550000.0,584878.3848827261,34878.384882726124,0.05316133027742013
125,3829.0,53.978062,-6.708855,3,house,A81,245000.0,238759.30703295174,-6240.692967048264,-0.004626574546212585
74,3982.0,53.333967,-6.257392,2,apartment,D02,550000.0,509650.7806070545,-40349.219392945524,-0.02991313182504549
240,11530.0,53.920768,-9.236753,2,house,F23,340000.0,297900.9987288821,-42099.001271117886,-0.031210342942740537
67,8246.0,53.134108,-9.205924,1,house,,160000.0,140034.29785311743,-19965.70214688257,-0.014801691068246792
95,1236.0,53.276292,-6.330628,2,apartment,D24,395000.0,353729.8050174225,-41270.19498257752,-0.030595902511437692
153,4092.0,52.887664,-6.60786,1,house,,295950.0,320335.345327095,24385.345327095012,0.03716793083227531
