Breakdown of Local Authority Mortgage Data by area,,,,,,,,,,,,,,,,,Breakdown of Local Authority Mortgage Data by area,,,,,,,,,,,,,,,,,,,,,,,
Year,2014,,,,,,,,,,,,,,,,2015,,,,,,,,,,,,,,,,,,,,,,,
Quarter,Q1,,,,Q2,,,,Q3,,,,Q4,,,,Q1,,,,,,Q2,,,,,,Q3,,,,,,Q4,,,,,
Local Authority,Total Loan book,,Loans in arrears over 90 days,,Total Loan book,,Loans in arrears over 90 days,,Total Loan book,,Loans in arrears over 90 days,,Total Loan book,,Loans in arrears over 90 days,,Total Loan book,,Loans in arrears over 90 days,,Loans in arrears over 720 days,,Total Loan book,,Loans in arrears over 90 days,,Loans in arrears over 720 days,,Total Loan book,,Loans in arrears over 90 days,,Loans in arrears over 720 days,,Total Loan book,,Loans in arrears over 90 days,,Loans in arrears over 720 days,
,Number ,Value €,Number ,Value €,Number ,Value €,Number ,Value €,Number ,Value €,Number ,Value €,Number ,Value €,Number ,Value €,Number ,Value €,Number ,Value €,Number ,Value €,Number ,Value €,Number ,Value €,Number ,Value €,Number ,Value €,Number ,Value €,Number ,Value €,Number ,Value €,Number ,Value €,Number ,Value €
Longford,298,"12,019,843",128,"4,809,061",287,"11,749,178",123,"4,598,985",281,"11,533,930",122,"4,573,550",271,"11,346,900",118,"4,472,619",267,"11,186,565",120,"4,145,195",55,"1,460,101",265,"11,108,500",116,"4,107,381",53,"1,435,441",259,"10,904,635",118,"4,171,285",53,"1,524,440",254,"10,627,590",101,"3,863,721",49,"1,648,302"
Louth,286,"10,639,155",94,"3,974,640",243,"10,639,155",97,"1,237,233",272,"12,836,372",100,"1,178,009",313,"12,805,504",92,"3,363,299",315,"13,255,942",88,"3,226,975",40,"1,166,421",319,"13,531,288",90,"4,242,491",42,"1,280,118",320,"13,787,389",88,"3,547,633",42,"1,281,933",318,"13,836,751",88,"3,547,700",42,"1,273,298"
Mayo,829,"37,593,921",334,"8,532,116",837,"37,687,465",314,"8,522,022",831,"37,382,742",306,"8,336,338",830,"38,150,835",319,"7,351,728",823,"38,016,175",310,"7,425,386",147,"2,090,372",819,"37,897,691",302,"7,843,170",138,"2,396,407",796,"37,442,930",286,"7,130,868",128,"1,951,769",791,"37,287,115",276,"6,816,460",121,"1,774,537"
Meath,288,"16,418,591",95,"5,159,834",294,"16,397,041",97,"4,917,053",288,"16,430,962",99,"5,046,443",290,"16,761,294",97,"5,037,083",276,"16,405,108",89,"4,944,739",35,"1,941,602",276,"16,636,534",93,"6,072,336",38,"2,602,778",275,"16,428,633",92,"6,113,502",36,"2,677,895",271,"16,535,285",73,"5,779,350",27,"2,492,517"
Monaghan,254,"12,371,935",94,"2,249,774",258,"12,388,762",93,"2,034,654",294,"12,265,046",89,"1,983,704",254,"12,164,538",88,"2,108,154",248,"12,178,968",86,"2,107,088",26,"307,541",243,"12,061,632",86,"2,273,393",27,"400,802",237,"11,956,362",79,"1,691,332",30,"442,552",230,"11,792,157",82,"2,004,086",29,"331,788"
Offaly,189,"6,065,090",102,"1,686,154",181,"6,029,747",100,"1,618,182",181,"5,888,123",108,"1,527,576",173,"5,509,943",73,"1,765,684",171,"5,516,503",71,"1,740,315",27,"552,465",168,"5,436,824",69,"1,280,287",26,"300,216",164,"5,327,279",68,"1,157,341",25,"235,190",160,"5,208,282",66,"1,052,340",27,"287,785"
Roscommon,184,"2,243,614",57,"822,158",180,"2,177,516",53,"803,856",171,"2,108,372",49,"1,066,300",165,"2,044,974",46,"1,058,422",163,"1,857,000",38,"917,258",20,"531,789",163,"1,805,237",34,"821,939",18,"443,768",156,"1,633,522",36,"663,470",13,"226,495",154,"1,582,560",34,"643,129",13,"262,293"
Sligo,313,"10,270,518",163,"6,007,057",324,"9,793,313",165,"6,291,547",331,"9,820,339",161,"6,583,147",365,"9,875,703",157,"6,397,274",409,"12,602,767",159,"6,238,878",89,"3,844,331",414,"12,664,828",154,"6,125,638",88,"3,834,019",399,"12,725,013",141,"5,426,858",81,"3,452,662",393,"12,738,000",133,"5,070,974",75,"3,112,151"
South Dublin,"1,093","64,055,357",173,"13,569,985","1,063","62,905,729",173,"13,456,644","1,042","62,084,228",174,"13,405,452","1,024","60,735,926",191,"13,567,256","1,008","59,745,199",187,"14,269,481",30,"1,616,275",979,"58,406,029",188,"13,822,424",32,"1,662,304",950,"56,835,075",176,"12,652,114",26,"1,115,027",938,"55,477,263",174,"12,592,301",28,"1,221,566"
Tipperary,647,"16,900,829",197,"5,983,768",679,"16,723,823",196,"3,674,658",673,"16,096,955",196,"3,566,187",667,"15,476,674",163,"5,148,590",656,"15,174,533",168,"5,552,119",34,"1,269,843",646,"14,987,981",164,"5,247,122",33,"1,256,282",633,"14,754,843",143,"4,659,416",28,"1,030,439",623,"15,005,767",144,"4,486,752",29,"1,013,537"
Waterford City and County,602,"38,667,753",308,"17,333,765",618,"37,619,682",308,"17,333,765",608,"37,554,393",252,"18,531,502",610,"37,414,908",291,"17,306,520",610,"37,064,763",300,"17,207,609",111,"7,186,926",605,"37,060,564",278,"19,037,598",109,"9,059,954",602,"36,712,763",288,"20,169,848",110,"9,580,501",593,"38,730,161",288,"20,064,251",109,"9,415,720"
Westmeath,814,"29,661,284",264,"12,393,971",916,"28,563,791",222,"11,991,869",889,"27,618,679",202,"10,199,422",876,"27,128,049",187,"9,454,111",853,"26,608,383",174,"8,758,124",86,"4,441,503",829,"25,605,218",169,"8,608,538",71,"3,357,342",814,"25,299,907",149,"7,149,334",77,"3,641,316",791,"25,026,122",136,"6,370,614",65,"2,822,963"
Wexford,846,"52,589,586",176,"11,794,600",831,"51,354,039",171,"13,049,719",815,"50,249,859",180,"14,719,568",811,"49,898,860",178,"13,797,159",801,"48,967,760",154,"11,950,768",32,"2,187,941",798,"48,947,481",155,"12,187,459",33,"2,400,730",794,"48,458,496",174,"13,408,545",35,"2,599,285",787,"47,932,307",161,"11,444,915",38,"2,644,942"
Wicklow ,383,"18,094,401",121,"5,597,207",379,"17,782,725",137,"5,836,096",375,"17,193,750",144,"5,830,099",364,"16,732,858",139,"5,602,501",360,"16,463,914",134,"5,537,686",56,"1,778,767",354,"16,167,280",135,"5,364,890",56,"1,605,288",343,"15,752,849",129,"5,139,842",56,"1,654,444",336,"15,562,608",127,"5,054,801",56,"1,704,961"
City Councils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cork,529,"28,381,944",122,"5,636,136",513,"27,955,023",116,"5,446,156",483,"27,578,725",106,"5,494,542",473,"27,208,578",95,"5,620,893",465,"26,840,781",98,"5,469,199",35,"1,974,775",459,"26,495,026",100,"5,690,034",42,"2,250,630",446,"26,247,893",104,"5,775,767",39,"2,080,876",433,"25,561,185",103,"4,460,971",39,"2,228,607"
Dublin,"2,697","333,129,147",953,"14,390,487","2,654","326,286,938",945,"14,375,679","2,631","321,477,978",935,"14,751,537","2,599","314,829,417",923,"15,560,342","2,588","308,829,200",891,"135,481,501",402,"63,943,111","2,552","305,623,150",866,"131,458,764",407,"65,889,741","2,509","297,393,015",836,"124,639,300",382,"61,283,485","2,488","291,601,017",800,"119,090,431",395,"64,099,926"
Galway,237,"16,559,288",58,"3,352,666",235,"16,333,760",54,"3,559,328",232,"15,912,225",57,"3,729,303",228,"15,427,844",48,"2,693,539",227,"15,109,680",47,"2,516,249",17,"504,639",227,"14,778,067",48,"2,562,436",17,"498,445",223,"14,520,985",44,"2,315,288",15,"429,053",221,"14,220,661",46,"2,408,967",16,"428,615"
Total,"19,065","1,161,007,843","6,015","246,126,431","19,083","1,141,160,222","5,923","240,182,076","18,912","1,126,834,181","5,827","243,317,528","18,679","1,108,323,965","5,668","241,108,409","18,559","1,098,248,646","5,532","358,447,133","2,182","142,685,592","18,364","1,087,983,057","5,375","354,581,483","2,178","148,438,798","18,079","1,070,892,303","5,212","339,263,293","2,111","143,312,057","17,845","1,061,931,494","4,983","328,606,945","2,049","147,608,318"
