price,floor_area,latitude,longitude,bedroom,bathroom,type_house,place,predicted_price,residual,res_percentage
315000.0,163,53.095048,-7.906761,4,2,house,,315581.7067304003,581.7067304003285,0.001846688033016916
900000.0,174,53.366728,-6.255979,4,3,house,Dublin 9,927022.0216932623,27022.02169326227,0.03002446854806919
605000.0,130,53.358469,-6.373148,4,4,,Dublin 20,505141.28909410536,-99858.71090589464,-0.16505572050561096
365000.0,122,53.275845,-8.970839,4,3,house,Galway,344189.79536465206,-20810.204635347938,-0.05701425927492586
295000.0,116,51.931746,-8.462712,3,2,house,Cork city northside,285005.1416038799,-9994.858396120078,-0.03388087591905111
950000.0,272,53.397037,-6.448056,4,3,house,Dublin 15,762800.5110482514,-187199.4889517486,-0.19705209363341958
395000.0,210,53.21257,-7.652275,3,1,house,,324996.993773322,-70003.00622667797,-0.17722280057386827
395000.0,152,53.5933,-6.725637,4,3,house,Trim,362146.09713219,-32853.902867809986,-0.08317443764002529
285000.0,111,53.29158554363275,-7.500182456737463,3,3,house,Tullamore,267815.89034463593,-17184.109655364067,-0.060295121597768654
275000.0,114,53.29158554363275,-7.500182456737463,3,2,house,Tullamore,266562.4774874216,-8437.522512578405,-0.030681900045739657
250000.0,105,53.29158554363275,-7.500182456737463,3,3,house,Tullamore,262669.86488072807,12669.86488072807,0.05067945952291228
350000.0,170,52.711569,-6.401613,4,3,,,399259.71133960504,49259.71133960504,0.14074203239887154
275000.0,126,51.914094,-8.048153,4,3,house,Midleton,295589.0902634334,20589.090263433405,0.07486941913975784
180000.0,76,53.7317153,-6.8750567,2,2,house,Kells,174425.04359630626,-5574.956403693737,-0.030971980020520762
1200000.0,165,53.323085,-6.258269,4,1,house,Dublin 6,1088556.4696677453,-111443.53033225471,-0.09286960861021226
1200000.0,178,53.47075,-6.471708,4,2,house,Dunshaughlin,639070.6121944884,-560929.3878055116,-0.467441156504593
240000.0,90,53.8981,-6.386325,3,2,house,Dundalk,216290.3995171403,-23709.600482859707,-0.09879000201191544
239500.0,88,53.612287,-6.187575,3,1,house,Balbriggan,275413.2949933185,35913.2949933185,0.1499511273207453
340000.0,78,53.443291,-6.201101,3,3,house,Swords,325253.28909838153,-14746.71090161847,-0.04337267912240726
565000.0,138,53.35993220079086,-6.507531852019383,4,3,house,Maynooth,471758.1934165131,-93241.8065834869,-0.16502974616546354
500000.0,118,53.359875972247096,-6.50850649853578,3,3,house,Maynooth,406062.6353506167,-93937.3646493833,-0.18787472929876659
595000.0,234,52.644036,-7.257072,5,4,house,Kilkenny,538639.3000695532,-56360.699930446805,-0.09472386542932236
695000.0,157,53.449811,-6.185505,4,4,house,Malahide,665399.5089367385,-29600.49106326152,-0.04259063462339787
295000.0,114,53.492998,-9.131804,4,1,house,,215262.39686932863,-79737.60313067137,-0.2702969597649877
289000.0,159,53.474234,-9.096377,4,4,house,,318577.38696416887,29577.386964168865,0.10234389952999608
195000.0,178,53.497099,-9.132372,4,3,house,,305107.6398918824,110107.63989188243,0.564654563548115
545000.0,412,53.193856,-8.785382,5,4,house,,622609.692101015,77609.69210101501,0.14240310477250462
750000.0,250,53.348312,-6.674751,4,4,house,Naas,647075.1963468126,-102924.80365318735,-0.13723307153758313
495000.0,130,53.510025,-6.543883,4,3,house,Dunshaughlin,468605.07140086195,-26394.928599138046,-0.05332308807906676
150000.0,138,53.768167,-7.832106,4,1,house,,183422.42662612133,33422.426626121334,0.22281617750747557
339000.0,125,51.82216362258271,-8.230661796460765,4,3,house,Midleton,315115.77325750346,-23884.22674249654,-0.07045494614305764
309000.0,110,51.82216362258271,-8.230661796460765,3,3,house,Midleton,289606.9642280778,-19393.03577192221,-0.0627606335660913
289000.0,92,51.82216362258271,-8.230661796460765,3,2,house,Midleton,257295.2852286484,-31704.714771351602,-0.1097048954026007
495000.0,226,51.70610752357007,-8.884942234300496,4,3,house,Dunmanway,531321.5480914554,36321.54809145536,0.07337686483122295
850000.0,149,53.44347216249679,-6.148025611706714,4,3,house,Malahide,726629.1049192289,-123370.89508077106,-0.14514222950678948
320000.0,100,53.257264,-8.922598,3,4,house,Galway,304724.24555237754,-15275.754447622458,-0.04773673264882018
625000.0,120,53.44347216249679,-6.148025611706714,3,3,house,Malahide,605355.7335403434,-19644.266459656646,-0.031430826335450635
350000.0,149,53.415924,-9.290911,4,4,,,302544.4745150185,-47455.52548498148,-0.13558721567137566
750000.0,290,53.299645,-9.120468,5,4,house,Galway,666955.4422176179,-83044.55778238212,-0.11072607704317616
365000.0,210,53.403725,-9.048937,4,3,house,,383641.75489233626,18641.754892336263,0.05107330107489387
625000.0,210,53.702817,-6.247423,4,3,house,Drogheda,708690.3987032622,83690.39870326221,0.13390463792521953
550000.0,222,53.285298,-9.068049,4,4,house,Galway,501321.07358120644,-48678.92641879356,-0.08850713894326102
395000.0,230,51.748699,-8.732959,4,4,house,Bandon,544925.0566518642,149925.0566518642,0.37955710544775745
2500000.0,366,53.382463,-6.062202,6,4,house,Dublin 13,1980868.0953135244,-519131.90468647564,-0.20765276187459025
